start=2014-09-18T09:01:00,end=2014-11-13T09:01:00,version=0.2.2,note=NOT FOR NAVIGATION
ID,IDENT,LATITUDE,LONGITUDE,TYPE
257,04MN,47.98579222222222,-94.68691777777778,AIRPORT
258,04MS,32.939571666666666,-90.83732194444444,AIRPORT
259,04MT,47.137497777777774,-106.488095,AIRPORT
260,04NC,35.73916666666667,-78.78222222222222,AIRPORT
261,04NE,41.15999333333333,-101.29905249999999,AIRPORT
262,04NJ,39.59678111111111,-75.2335188888889,AIRPORT
263,04NR,34.775555555555556,-77.39194444444445,AIRPORT
264,04NV,35.75553138888889,-115.66472805555556,AIRPORT
265,04NY,42.26230916666667,-73.69623305555555,AIRPORT
266,04OG,45.530833333333334,-123.08555555555556,AIRPORT
267,04OK,36.11532861111111,-97.07947944444444,AIRPORT
268,04OR,44.749855277777776,-120.20112888888889,AIRPORT
269,04PA,39.87927972222222,-75.22879277777777,AIRPORT
270,04PN,40.03066194444445,-75.63021,AIRPORT
271,04SC,34.840555555555554,-82.60694444444445,AIRPORT
272,04TA,30.271041666666665,-97.7447275,AIRPORT
273,04TE,29.700229999999998,-95.3874388888889,AIRPORT
274,04TN,36.18333333333333,-82.67888888888889,AIRPORT
275,04TS,30.553531666666668,-97.60611638888888,AIRPORT
276,04TX,31.732222222222223,-97.36888888888889,AIRPORT
277,04UT,37.00832972222222,-110.79513666666668,AIRPORT
278,04V,38.09939444444445,-106.17432777777778,AIRPORT
279,04VA,36.897999999999996,-82.078,AIRPORT
280,04VG,37.71443333333333,-77.21181666666666,AIRPORT
281,04VT,44.40111111111111,-72.26361111111112,AIRPORT
282,04W,46.02286811111111,-92.89517441666668,AIRPORT
283,04WA,47.58183611111111,-117.4371525,AIRPORT
284,04WI,42.523352499999994,-88.01674805555555,AIRPORT
285,04WN,46.95835833333333,-119.63881944444445,AIRPORT
286,04WV,39.65361111111111,-79.95611111111111,AIRPORT
287,04XA,35.97511388888889,-96.72608055555555,AIRPORT
288,04XS,32.58208055555556,-97.14251,AIRPORT
289,04Y,46.88377777777778,-96.35061111111112,AIRPORT
290,05AK,61.668661111111106,-149.18738888888888,AIRPORT
291,05AL,31.231175,-85.64970277777778,AIRPORT
292,05AR,36.00063333333333,-93.57025,AIRPORT
293,05AZ,32.68282611111111,-114.63439694444445,AIRPORT
294,05B,47.15893194444445,-67.93196833333333,AIRPORT
295,05C,41.519841,-87.39950797222221,AIRPORT
296,05CA,34.13777777777778,-118.71444444444444,AIRPORT
297,05CL,38.61073916666666,-122.3913675,AIRPORT
298,05CO,40.214983888888895,-104.98442277777778,AIRPORT
299,05CT,41.77370805555555,-73.11622111111112,AIRPORT
